,Date,NIFTY PSU BANK
2162,2016-10-14,3103.05
2163,2016-10-17,3090.3
2164,2016-10-18,3152.5
2165,2016-10-19,3142.15
2166,2016-10-20,3208.9
2167,2016-10-21,3195.55
2168,2016-10-24,3242.3
2169,2016-10-25,3219.65
2170,2016-10-26,3180.45
2171,2016-10-27,3143.7
2172,2016-10-28,3177.3
2173,2016-10-30,3173.6
2174,2016-11-01,3177.55
2175,2016-11-02,3067.45
2176,2016-11-03,3005.85
2177,2016-11-04,2961.2
2178,2016-11-07,3075.65
2179,2016-11-08,3073.3
2180,2016-11-09,3137.9
2181,2016-11-10,3411.65
2182,2016-11-11,3320.25
2183,2016-11-15,3395.35
2184,2016-11-16,3372.8
2185,2016-11-17,3377.1
2186,2016-11-18,3382.6
2187,2016-11-21,3149.5
2188,2016-11-22,3154.35
2189,2016-11-23,3162.85
2190,2016-11-24,3201.65
2191,2016-11-25,3208.65
2192,2016-11-28,3126.95
2193,2016-11-29,3114.05
2194,2016-11-30,3179.5
2195,2016-12-01,3140.9
2196,2016-12-02,3114.0
2197,2016-12-05,3147.4
2198,2016-12-06,3161.3
2199,2016-12-07,3110.35
2200,2016-12-08,3153.35
2201,2016-12-09,3230.55
2202,2016-12-12,3180.95
2203,2016-12-13,3200.4
2204,2016-12-14,3158.8
2205,2016-12-15,3182.6
2206,2016-12-16,3169.05
2207,2016-12-19,3134.7
2208,2016-12-20,3055.3
2209,2016-12-21,3060.45
2210,2016-12-22,3002.4
2211,2016-12-23,2991.3
2212,2016-12-26,2910.65
2213,2016-12-27,2961.2
2214,2016-12-28,2947.5
2215,2016-12-29,2948.4
2216,2016-12-30,2982.0
2217,2017-01-02,2922.25
2218,2017-01-03,2940.4
2219,2017-01-04,2916.15
2220,2017-01-05,2953.95
2221,2017-01-06,2969.85
2222,2017-01-09,2982.1
2223,2017-01-10,2993.35
2224,2017-01-11,3062.1
2225,2017-01-12,3054.0
2226,2017-01-13,3048.3
2227,2017-01-16,3099.9
2228,2017-01-17,3105.95
2229,2017-01-18,3126.35
2230,2017-01-19,3136.75
2231,2017-01-20,3040.1
2232,2017-01-23,3073.3
2233,2017-01-24,3090.8
2234,2017-01-25,3153.25
2235,2017-01-27,3234.15
2236,2017-01-30,3223.1
2237,2017-01-31,3174.35
2238,2017-02-01,3300.2
2239,2017-02-02,3347.75
2240,2017-02-03,3445.1
2241,2017-02-06,3432.3
2242,2017-02-07,3450.45
2243,2017-02-08,3439.6
2244,2017-02-09,3404.4
2245,2017-02-10,3414.15
2246,2017-02-13,3312.45
2247,2017-02-14,3308.0
2248,2017-02-15,3259.8
2249,2017-02-16,3283.95
2250,2017-02-17,3275.45
2251,2017-02-20,3292.95
2252,2017-02-21,3310.8
2253,2017-02-22,3313.85
2254,2017-02-23,3297.55
2255,2017-02-27,3262.45
2256,2017-02-28,3286.35
2257,2017-03-01,3310.7
2258,2017-03-02,3247.0
2259,2017-03-03,3223.95
2260,2017-03-06,3272.95
2261,2017-03-07,3253.4
2262,2017-03-08,3261.35
2263,2017-03-09,3285.05
2264,2017-03-10,3273.5
2265,2017-03-14,3308.1
2266,2017-03-15,3351.35
2267,2017-03-16,3388.2
2268,2017-03-17,3327.0
2269,2017-03-20,3336.65
2270,2017-03-21,3306.0
2271,2017-03-22,3241.0
2272,2017-03-23,3252.1
2273,2017-03-24,3359.85
2274,2017-03-27,3404.05
2275,2017-03-28,3432.55
2276,2017-03-29,3487.1
2277,2017-03-30,3514.35
2278,2017-03-31,3526.6
2279,2017-04-03,3525.75
2280,2017-04-05,3576.05
2281,2017-04-06,3537.65
2282,2017-04-07,3483.95
2283,2017-04-10,3505.5
2284,2017-04-11,3578.25
2285,2017-04-12,3531.4
2286,2017-04-13,3545.75
2287,2017-04-17,3532.15
2288,2017-04-18,3531.65
2289,2017-04-19,3473.25
2290,2017-04-20,3504.55
2291,2017-04-21,3473.1
2292,2017-04-24,3523.0
2293,2017-04-25,3548.25
2294,2017-04-26,3566.85
2295,2017-04-27,3537.7
2296,2017-04-28,3659.3
2297,2017-05-02,3654.5
2298,2017-05-03,3691.35
2299,2017-05-04,3817.5
2300,2017-05-05,3750.5
2301,2017-05-08,3790.6
2302,2017-05-09,3741.9
2303,2017-05-10,3711.65
2304,2017-05-11,3749.85
2305,2017-05-12,3726.15
2306,2017-05-15,3751.85
2307,2017-05-16,3841.3
2308,2017-05-17,3817.85
2309,2017-05-18,3737.8
2310,2017-05-19,3769.1
2311,2017-05-22,3611.85
2312,2017-05-23,3548.05
2313,2017-05-24,3467.45
2314,2017-05-25,3558.55
2315,2017-05-26,3538.9
2316,2017-05-29,3459.45
2317,2017-05-30,3520.65
2318,2017-05-31,3514.4
2319,2017-06-01,3518.75
2320,2017-06-02,3527.3
2321,2017-06-05,3530.85
2322,2017-06-06,3505.2
2323,2017-06-07,3548.65
2324,2017-06-08,3518.15
2325,2017-06-09,3518.8
2326,2017-06-12,3449.95
2327,2017-06-13,3446.4
2328,2017-06-14,3478.2
2329,2017-06-15,3456.4
2330,2017-06-16,3463.4
2331,2017-06-19,3486.75
2332,2017-06-20,3484.25
2333,2017-06-21,3495.5
2334,2017-06-22,3514.5
2335,2017-06-23,3444.25
2336,2017-06-27,3328.0
2337,2017-06-28,3306.8
2338,2017-06-29,3279.9
2339,2017-06-30,3302.4
2340,2017-07-03,3319.9
2341,2017-07-04,3288.45
2342,2017-07-05,3313.4
2343,2017-07-06,3391.35
2344,2017-07-07,3380.7
2345,2017-07-10,3474.9
2346,2017-07-11,3431.0
2347,2017-07-12,3477.1
2348,2017-07-13,3486.45
2349,2017-07-14,3519.9
2350,2017-07-17,3530.95
2351,2017-07-18,3519.25
2352,2017-07-19,3549.4
2353,2017-07-20,3508.35
2354,2017-07-21,3511.35
2355,2017-07-24,3563.95
2356,2017-07-25,3590.0
2357,2017-07-26,3573.0
2358,2017-07-27,3568.0
2359,2017-07-28,3592.45
2360,2017-07-31,3722.55
2361,2017-08-01,3672.35
2362,2017-08-02,3658.85
2363,2017-08-03,3552.95
2364,2017-08-04,3601.95
2365,2017-08-07,3657.1
2366,2017-08-08,3569.6
2367,2017-08-09,3555.65
2368,2017-08-10,3461.35
2369,2017-08-11,3293.35
2370,2017-08-14,3286.45
2371,2017-08-16,3355.45
2372,2017-08-17,3336.9
2373,2017-08-18,3305.75
2374,2017-08-21,3245.7
2375,2017-08-22,3232.55
2376,2017-08-23,3300.25
2377,2017-08-24,3323.05
2378,2017-08-28,3319.85
2379,2017-08-29,3279.95
2380,2017-08-30,3281.65
2381,2017-08-31,3291.15
2382,2017-09-01,3296.3
2383,2017-09-04,3282.7
2384,2017-09-05,3283.1
2385,2017-09-06,3250.85
2386,2017-09-07,3253.5
2387,2017-09-08,3220.1
2388,2017-09-11,3218.9
2389,2017-09-12,3260.85
2390,2017-09-13,3272.25
2391,2017-09-14,3294.7
2392,2017-09-15,3278.25
2393,2017-09-18,3270.85
2394,2017-09-19,3245.05
2395,2017-09-20,3277.45
2396,2017-09-21,3243.5
2397,2017-09-22,3152.8
2398,2017-09-25,3125.95
2399,2017-09-26,3122.4
2400,2017-09-27,3026.8
2401,2017-09-28,3042.2
2402,2017-09-29,3042.1
2403,2017-10-03,3023.35
2404,2017-10-04,3040.45
2405,2017-10-05,3039.1
2406,2017-10-06,3101.9
2407,2017-10-09,3100.7
2408,2017-10-10,3104.2
2409,2017-10-11,3029.65
2410,2017-10-12,3028.25
2411,2017-10-13,3045.45
2412,2017-10-16,3039.1
2413,2017-10-17,3037.8
2414,2017-10-18,2962.3
2415,2017-10-19,2942.7
2416,2017-10-23,2980.35
2417,2017-10-24,3093.35
2418,2017-10-25,4009.8
2419,2017-10-26,3988.45
2420,2017-10-27,3820.7
2421,2017-10-30,3867.2
2422,2017-10-31,3784.25
2423,2017-11-01,3921.95
2424,2017-11-02,3862.35
2425,2017-11-03,3975.4
2426,2017-11-06,4011.8
2427,2017-11-07,3854.35
2428,2017-11-08,3777.35
2429,2017-11-09,3835.75
2430,2017-11-10,4001.45
2431,2017-11-13,3975.1
2432,2017-11-14,3949.2
2433,2017-11-15,3904.55
2434,2017-11-16,4030.45
2435,2017-11-17,4068.85
2436,2017-11-20,4031.3
2437,2017-11-21,3994.5
2438,2017-11-22,4044.85
2439,2017-11-23,4030.2
2440,2017-11-24,4007.3
2441,2017-11-27,4029.3
2442,2017-11-28,3984.85
2443,2017-11-29,3947.8
2444,2017-11-30,3856.65
2445,2017-12-01,3766.7
2446,2017-12-04,3780.5
